#TimesAppear,108742,RANK,Freq,A,B,C
--------------------,-----------------------------------------------------------------------------------------------------------------------------------------,----------,,2,0,1000
257240, the,1,,,,
129475, to,2,,,,
116233, of,3,,,,
101530, and,4,,,,
86774, in,5,,,,
75164, is,6,,,,
74476, i,7,,,,
69279, that,8,,,,
52457, it,9,,,,
47471, for,10,,,,
44981, you,11,,,,
34912, this,12,,,,
34295, on,13,,,,
33146, be,14,,,,
32778, not,15,,,,
32624, have,16,,,,
32561, are,17,,,,
30219, with,18,,,,
27944, as,19,,,,
25893, or,20,,,,
24543, if,21,,,,
23621, but,22,,,,
23602, was,23,,,,
21975, they,24,,,,
19677, from,25,,,,
19351, by,26,,,,
18374, at,27,,,,
17405, an,28,,,,
16827, what,29,,,,
16750, can,30,,,,
16727, my,31,,,,
16543, all,32,,,,
16281, would,33,,,,
15747, there,34,,,,
15665, one,35,,,,
15406, will,36,,,,
15150, writes,37,,,,
15006, do,38,,,,
14557, about,39,,,,
14332, we,40,,,,
13672, so,41,,,,
13281, has,42,,,,
13230, no,43,,,,
13203, he,44,,,,
13068, your,45,,,,
12914, article,46,,,,
12163, any,47,,,,
11732, some,48,,,,
11731, me,49,,,,
11605, who,50,,,,
11121, which,51,,,,
10794, out,52,,,,
10428, like,53,,,,
10315, people,54,,,,
10279, don't,55,,,,
10218, were,56,,,,
10163, when,57,,,,
10098, just,58,,,,
10061, more,59,,,,
10028, their,60,,,,
9243, up,61,,,,
9170, know,62,,,,
9050, other,63,,,,
8864, them,64,,,,
8795, only,65,,,,
8671, how,66,,,,
8609, get,67,,,,
8608, had,68,,,,
8516, than,69,,,,
8300, been,70,,,,
8080, think,71,,,,
8042, his,72,,,,
7670, also,73,,,,
7270, does,74,,,,
7122, then,75,,,,
7063, time,76,,,,
6929, use,77,,,,
6818, x,78,,,,
6733, it's,79,,,,
6702, i'm,80,,,,
6548, these,81,,,,
6339, should,82,,,,
6189, could,83,,,,
6038, well,84,,,,
6014, good,85,,,,
5995, may,86,,,,
5995, new,86,,,,
5955, because,87,,,,
5883, now,88,,,,
5860, even,89,,,,
5738, am,90,,,,
5646, see,91,,,,
5499, very,92,,,,
5456, into,93,,,,
5368, way,94,,,,
5301, why,95,,,,
